word	file	lines
abline	02_ggplot2.Rmd	251,254,290,302,314,326
Adlb	03_customization.Rmd	502
aRL	05_exploratory_to_explanatory.Rmd	459
Auc	03_customization.Rmd	507
AvZY	03_customization.Rmd	502
aXhA	03_customization.Rmd	502
AXqO	02_ggplot2.Rmd	393
barpot	02_ggplot2.Rmd	299
BBW	03_customization.Rmd	487
bj	07_tables_in_R.Rmd	180
bmp	04_saving_plots.Rmd	32,78
bOzF	02_ggplot2.Rmd	404
bpBf	02_ggplot2.Rmd	425
bRCG	05_exploratory_to_explanatory.Rmd	476
Broman's	07_tables_in_R.Rmd	115
bw	08_multiple_plots.Rmd	113,122
BXKP	05_exploratory_to_explanatory.Rmd	465
BYKs	03_customization.Rmd	492
cales	03_customization.Rmd	259
CEd	03_customization.Rmd	497
Chartable	01_good_plots.Rmd	88,248
cheatsheet	03_customization.Rmd	76
Cheatsheet	03_customization.Rmd	356
clarities	03_customization.Rmd	80,95
cNab	05_exploratory_to_explanatory.Rmd	476
csv	10_dataviz_project.Rmd	80,88
CXPi	05_exploratory_to_explanatory.Rmd	465
DAsH	05_exploratory_to_explanatory.Rmd	470
Data's	01_good_plots.Rmd	246
datatables	06_datatables.Rmd	127
dataviz	10_dataviz_project.Rmd	25,266,445
Datawrapper's	01_good_plots.Rmd	88
de	01_good_plots.Rmd	134
devtools	08_multiple_plots.Rmd	17
df	07_tables_in_R.Rmd	143
dgHE	03_customization.Rmd	487
dGz	02_ggplot2.Rmd	393
dl	05_exploratory_to_explanatory.Rmd	425
dMOe	03_customization.Rmd	497
Donut	00_intro_visualization.Rmd	166
dowloaded	10_dataviz_project.Rmd	257
DS	03_customization.Rmd	358,359
DxL	02_ggplot2.Rmd	415
eG	03_customization.Rmd	507
EHLg	02_ggplot2.Rmd	398
el	02_ggplot2.Rmd	387
else's	01_good_plots.Rmd	12,183
eps	04_saving_plots.Rmd	32
EsLE	02_ggplot2.Rmd	425
esqX	05_exploratory_to_explanatory.Rmd	459
EToG	07_tables_in_R.Rmd	196
EV	02_ggplot2.Rmd	387
eZFC	02_ggplot2.Rmd	404
fAx	07_tables_in_R.Rmd	186
fCZJ	03_customization.Rmd	487
Ferdio	00_intro_visualization.Rmd	117
ffCw	03_customization.Rmd	492
fivethirtyeight	03_customization.Rmd	431,433,446
fivethirtyeight	10_dataviz_project.Rmd	260
FiveThirtyEight	00_intro_visualization.Rmd	74
FiveThirtyEight	01_good_plots.Rmd	248
FiveThirtyEight	10_dataviz_project.Rmd	257
FkqH	05_exploratory_to_explanatory.Rmd	470
Fmax	03_customization.Rmd	492
fn	06_datatables.Rmd	145
FN	06_datatables.Rmd	145
FTDM	02_ggplot2.Rmd	420
Fu	02_ggplot2.Rmd	404,425
FwV	05_exploratory_to_explanatory.Rmd	476
GBK	07_tables_in_R.Rmd	186
Gct	03_customization.Rmd	492
gdocs	03_customization.Rmd	433,446
geoms	02_ggplot2.Rmd	32,176,178,196,246
geoms	05_exploratory_to_explanatory.Rmd	16
Geoms	02_ggplot2.Rmd	174
GFZW	07_tables_in_R.Rmd	186
gg	09_advanced_data_visualization.Rmd	116
gganimate	09_advanced_data_visualization.Rmd	112,116,137,174
gganimate	09_advanced_data_visualization.Rmd	132
ggcaption	05_exploratory_to_explanatory.Rmd	449
ggplot	02_ggplot2.Rmd	10,12,21,62,78,108,136,141,246,258,262,263,267,272,274,279
ggplot	03_customization.Rmd	10,246,364,371,418
ggplot	04_saving_plots.Rmd	98
ggplot	05_exploratory_to_explanatory.Rmd	37,394,449
ggplot	09_advanced_data_visualization.Rmd	32,114,116,165,174
ggplotly	09_advanced_data_visualization.Rmd	49
ggsave	04_saving_plots.Rmd	98
ggtitle	05_exploratory_to_explanatory.Rmd	80
github	10_dataviz_project.Rmd	445
gJgf	02_ggplot2.Rmd	398
glm	07_tables_in_R.Rmd	152
gma	03_customization.Rmd	492
googledocs	03_customization.Rmd	446
gPu	05_exploratory_to_explanatory.Rmd	476
greek	02_ggplot2.Rmd	376
grey	01_good_plots.Rmd	329
grey	03_customization.Rmd	156
grey	05_exploratory_to_explanatory.Rmd	288
gridlines	03_customization.Rmd	156
gridlines	05_exploratory_to_explanatory.Rmd	116
gridlines	10_dataviz_project.Rmd	377
Hadley	02_ggplot2.Rmd	261
Hb	03_customization.Rmd	481
hHIX	05_exploratory_to_explanatory.Rmd	465
hightlight	05_exploratory_to_explanatory.Rmd	412
hjust	05_exploratory_to_explanatory.Rmd	328
HlBk	03_customization.Rmd	502
Hnbs	02_ggplot2.Rmd	415
hPpH	03_customization.Rmd	497
https	10_dataviz_project.Rmd	445
HTTPS	10_dataviz_project.Rmd	42
HzFt	02_ggplot2.Rmd	387
igray	03_customization.Rmd	433,446
IgVk	02_ggplot2.Rmd	425
IgzX	03_customization.Rmd	481
interpretable	00_intro_visualization.Rmd	58
io	02_ggplot2.Rmd	410
iPhones	01_good_plots.Rmd	100,143
iPhones	05_exploratory_to_explanatory.Rmd	288
IPIq	02_ggplot2.Rmd	387
iPods	01_good_plots.Rmd	143
iPods	05_exploratory_to_explanatory.Rmd	288
ITx	07_tables_in_R.Rmd	180
IvNN	02_ggplot2.Rmd	393
IWZ	03_customization.Rmd	487
IxMs	05_exploratory_to_explanatory.Rmd	459
iZ	05_exploratory_to_explanatory.Rmd	465
jH	02_ggplot2.Rmd	420
jHZ	05_exploratory_to_explanatory.Rmd	459
ji	07_tables_in_R.Rmd	191
jIhv	02_ggplot2.Rmd	393
jJUs	07_tables_in_R.Rmd	196
jpeg	04_saving_plots.Rmd	32,70,78
jv	07_tables_in_R.Rmd	196
jvKu	02_ggplot2.Rmd	393
jvR	05_exploratory_to_explanatory.Rmd	476
kable	07_tables_in_R.Rmd	67,152,162
kableExtra	07_tables_in_R.Rmd	117
KADo	03_customization.Rmd	487
kaggle	10_dataviz_project.Rmd	100
kfZj	07_tables_in_R.Rmd	191
KH	02_ggplot2.Rmd	410
klAC	07_tables_in_R.Rmd	180
KLgI	03_customization.Rmd	502
kNau	02_ggplot2.Rmd	425
knitr	07_tables_in_R.Rmd	116,143,152,162
KtIl	03_customization.Rmd	497
Lftj	02_ggplot2.Rmd	415
lgEK	07_tables_in_R.Rmd	180
liBt	07_tables_in_R.Rmd	180
lK	02_ggplot2.Rmd	398
lme	07_tables_in_R.Rmd	152
ln	06_datatables.Rmd	145
lOXX	03_customization.Rmd	507
lUV	02_ggplot2.Rmd	420
lwd	05_exploratory_to_explanatory.Rmd	425
LwZJ	07_tables_in_R.Rmd	180
Lx	03_customization.Rmd	502
mCT	07_tables_in_R.Rmd	180
Meek's	01_good_plots.Rmd	252
MF	07_tables_in_R.Rmd	196
MHgD	02_ggplot2.Rmd	387
mJCY	07_tables_in_R.Rmd	191
Mpc	03_customization.Rmd	497
mpgs	08_multiple_plots.Rmd	28
MQ	07_tables_in_R.Rmd	186
mra	03_customization.Rmd	481
multiplot	08_multiple_plots.Rmd	126
mv	02_ggplot2.Rmd	410
MxAU	03_customization.Rmd	487
mXnp	07_tables_in_R.Rmd	191
mYCb	05_exploratory_to_explanatory.Rmd	476
NBbO	03_customization.Rmd	492
nc	02_ggplot2.Rmd	404
Nezt	02_ggplot2.Rmd	393
nGb	02_ggplot2.Rmd	415
nNGT	03_customization.Rmd	507
